Plot,Trt #,Rep,Type,DM,CP,ADF,aNDF,Ash,FAT,Lignin,dNDF30,IVTDMD30,dNDF48,IVTDMD48,Ca,P,K,Mg,ESC,WSC,Starch
1101,,,,,,,,,,,,,,,,,,,,,
1102,4,,IWG,95.6,15.1,28.1,49.9,8.6,4.2,3.6,22.5,73.8,33.1,84,0.4,0.3,2.4,0.2,9.1,10.9,1.1
1103,,,,,,,,,,,,,,,,,,,,,
1104,2,,IWG,95.5,12.4,29.2,48.7,8.5,4.1,3.8,18.7,70,31,82,0.4,0.3,2.1,0.2,10.6,12.4,2.1
1105,3,,IWG,95.3,11.9,30.2,51.3,9.1,4.3,3.8,18.5,67.6,32.5,81.3,0.4,0.3,2.1,0.2,8.5,10.1,2
1106,6,,IWG,95.6,16.7,30.4,53.3,10.6,4,2.8,28.5,73,39.1,84.1,0.4,0.3,3.1,0.2,6.5,8.7,-0.2
1107,8,,IWG,95.4,17,29.7,50.1,10.1,3.6,3.2,26.7,76.6,35.9,85.8,0.4,0.3,3.1,0.2,7.3,9.4,0.4
1108,,,,,,,,,,,,,,,,,,,,,
1109,,,,,,,,,,,,,,,,,,,,,
1110,,,,,,,,,,,,,,,,,,,,,
1111,,,,,,,,,,,,,,,,,,,,,
1112,,,,,,,,,,,,,,,,,,,,,
1113,7,,IWG,95.1,18.5,27.1,48.6,9.2,3.6,3.4,25.7,76.7,34.8,86.3,0.4,0.3,2.9,0.2,8.2,10,0.6
1114,9,,IWG,95.4,17.8,29,51.4,10.2,3.9,3.3,25.9,73.7,36.2,84,0.4,0.3,3,0.3,7.6,9.5,0
1115,17,,IWG,95.3,16.2,30.8,51.4,10.7,3.4,3.6,25,72.5,34.9,83.5,0.4,0.3,2.8,0.2,7,9,0.7
1116,5,,IWG,95.2,10.4,30.7,51.3,8.6,4,3.4,19.8,68.6,32.6,81.5,0.4,0.2,1.9,0.2,9.6,11.8,2.2
1117,20,,IWG,95.5,16.4,30.1,52.3,9.7,3.9,3.1,27.4,72.6,37.6,84.3,0.4,0.3,2.9,0.3,6.8,9,0.5
1118,,,,,,,,,,,,,,,,,,,,,
1119,16,,IWG,95.4,17,29.2,50.7,10.5,3.7,3.1,26.9,75.8,36,85.3,0.4,0.3,3.2,0.2,8.2,10.1,0.3
1120,10,,IWG,95.3,16.3,31.2,54.3,10.6,3.6,2.9,28.7,72.9,38,83.3,0.4,0.4,3.2,0.2,6.2,8.3,-0.3
1121,,,,,,,,,,,,,,,,,,,,,
1122,24,,IWG,95.3,11.4,30.7,51.1,10.2,3.7,3.5,21.5,69.8,33.9,82.2,0.4,0.3,2.2,0.2,8.1,10,2
1123,21,,IWG,95.5,16.2,29.5,51.7,10.6,3.8,3.1,26.8,74.2,36.9,84.2,0.4,0.3,3,0.2,7.1,9.1,0.3
1124,1,,IWG,95.1,13.7,29.3,49,10.1,3.7,4,20.9,72.4,31.9,83.1,0.4,0.3,2.5,0.2,8,10,1.3
1201,24,,IWG,95.3,16.3,30.1,51.6,10.2,3.6,3.8,25.2,73.3,34.8,83.5,0.4,0.3,3,0.2,6.8,8.8,0.5
1202,,,,,,,,,,,,,,,,,,,,,
1203,,,,,,,,,,,,,,,,,,,,,
1204,,,,,,,,,,,,,,,,,,,,,
1205,4,,IWG,95.6,12.1,32.7,55.7,9.1,3.8,4.1,22,67,34.1,78.8,0.4,0.3,2.4,0.2,7,8.8,0.9
1206,,,,,,,,,,,,,,,,,,,,,
1207,9,,IWG,95.5,14.8,34,56.7,10.4,3.5,3.4,28.4,70.4,38.4,81.2,0.4,0.3,3.1,0.2,5.4,7.6,-0.2
1208,1,,IWG,95.7,10.1,32.2,54.4,8.7,3.7,4,19.2,65.5,32.3,78.6,0.4,0.2,2,0.2,8.8,10.6,1.8
1209,3,,IWG,95.2,10.4,32.5,54.4,10,3.7,4,20,65.6,33.1,79,0.4,0.3,2.1,0.2,5.9,8.1,2.1
1210,10,,IWG,95.4,18.6,27.9,50,11,4.1,3,25.5,74.8,37,85.6,0.4,0.4,3.2,0.2,7.8,9.6,-0.2
1211,7,,IWG,95.5,14.8,30.9,53.2,10.8,3.7,3.5,25.1,71.4,35.3,82.4,0.4,0.3,2.8,0.2,6.6,8.8,0.6
1212,20,,IWG,95.3,15,32.7,55.6,10.2,3.4,3.6,26.3,68.6,36.5,81,0.4,0.3,2.9,0.2,5.5,7.7,0.3
1213,5,,IWG,95.3,9.2,36.3,60.7,9.5,3.4,3.9,21.6,60,36,75.6,0.3,0.2,1.8,0.2,5.7,8.1,1.4
1214,21,,IWG,95.5,16.7,32,53.8,9.5,3.3,4.1,25.8,71.1,34.8,81.9,0.5,0.3,3,0.3,6.1,8.3,-0.2
1215,6,,IWG,95.5,19.6,28.4,49.6,10,3.6,2.4,29.9,77,38.9,88.7,0.4,0.4,3.1,0.3,7.2,9.6,0.3
1216,,,,,,,,,,,,,,,,,,,,,
1217,17,,IWG,95.3,16.4,30.8,52.6,10.3,3.5,3.2,27.2,73.3,36.9,83.6,0.4,0.3,3.1,0.3,6.4,8.6,0.3
1218,16,,IWG,95.3,15.7,30,51.6,9.4,3.4,3.8,24.9,72.8,34.2,83.9,0.4,0.3,2.8,0.2,7.3,9.3,1
1219,8,,IWG,95.3,16,30.2,52.5,10.2,3.7,3.1,26.3,73.1,36.5,84.1,0.4,0.3,3,0.2,6.9,8.9,0.5
1220,,,,,,,,,,,,,,,,,,,,,
1221,2,,IWG,95.3,11.1,31,53.8,8.9,3.7,3.5,21.4,67.7,34.2,80.9,0.4,0.3,2.2,0.2,7.4,9.3,2.1
1222,,,,,,,,,,,,,,,,,,,,,
1223,,,,,,,,,,,,,,,,,,,,,
1224,,,,,,,,,,,,,,,,,,,,,
1301,6,,IWG,95.5,15.2,32.3,55.8,10.6,3.6,3.4,27.9,70.1,37.8,81.1,0.4,0.3,2.9,0.2,5.5,7.5,-0.1
1302,4,,IWG,95.6,10.6,37,61.8,8.8,3.2,4.4,23.3,60.7,35.6,74.6,0.4,0.3,2.3,0.2,5,6.9,1
1303,,,,,,,,,,,,,,,,,,,,,
1304,9,,IWG,95,15,39.6,58.3,16.6,3.2,4.3,23.1,57.9,36.3,77.3,0.5,0.3,2.3,0.3,2.4,6,-0.3
1305,8,,IWG,95.2,13,35.9,55.9,9.1,2.9,4.9,23.8,66.8,33.2,79.1,0.5,0.3,2.6,0.2,5.3,7.5,1.1
1306,5,,IWG,95.4,9.9,34.7,58.1,9.3,3.7,4.1,22.1,64.3,35.1,77,0.5,0.3,2.1,0.2,5.6,7.6,1.7
1307,17,,IWG,95.4,13.3,35.6,57.5,11.1,3.2,4,26.6,67.1,36.7,78.9,0.5,0.3,2.8,0.2,4.5,6.9,0.3
1308,10,,IWG,95.5,14.8,34.7,56.2,10,3.2,4,26.5,68.9,36.5,80.7,0.5,0.3,3,0.2,5.1,7.4,0.2
1309,,,,,,,,,,,,,,,,,,,,,
1310,,,,,,,,,,,,,,,,,,,,,
1311,,,,,,,,,,,,,,,,,,,,,
1312,3,,IWG,95,13.2,32.9,56.1,10.3,3.7,3.6,24.3,66.8,35.7,80.2,0.5,0.3,2.8,0.2,5.9,8.1,0.4
1313,,,,,,,,,,,,,,,,,,,,,
1314,,,,,,,,,,,,,,,,,,,,,
1315,16,,IWG,95.3,13.4,33.3,54.9,9.9,3.2,4,26,71.5,35.3,81.1,0.5,0.3,2.7,0.2,5.7,7.9,0.7
1316,20,,IWG,95.1,16.1,30.3,53.4,10.3,3.6,3.6,25.9,71.5,35.4,82.4,0.4,0.3,3.1,0.2,6,7.8,0.2
1317,1,,IWG,95.2,9.7,35.4,59.2,9.7,3.8,3.9,20.5,59.9,36.3,76.2,0.4,0.2,2,0.2,4.5,6.4,1.3
1318,7,,IWG,95.1,14.6,32.4,56.5,9.4,3.6,3.4,24.8,66.3,37.7,80.4,0.4,0.3,2.7,0.2,5.9,7.7,0.1
1319,21,,IWG,95.3,14.2,36.3,59.4,10.7,3.3,3.7,27.4,64.2,38.2,78.4,0.4,0.3,3,0.2,3.9,6.3,-0.3
1320,24,,IWG,95.6,10.8,35,58.8,10.5,3.8,3.5,25.1,65.1,38.6,78.1,0.4,0.3,2.5,0.2,5,7.1,0.6
1321,,,,,,,,,,,,,,,,,,,,,
1322,,,,,,,,,,,,,,,,,,,,,
1323,2,,IWG,95.4,11.7,35.1,58.5,10,3.5,4,23.9,64.7,36.1,77.9,0.4,0.3,2.5,0.2,5.3,7.4,1
1324,,,,,,,,,,,,,,,,,,,,,
1401,16,,IWG,95.4,16,29.7,52.7,10.4,3.9,3.4,25.3,72.5,36.3,82.7,0.4,0.3,3,0.2,7.2,8.9,-0.2
1402,4,,IWG,95.5,11.7,32.7,56.2,9.3,3.8,3.5,23.9,67.5,36.7,79.8,0.4,0.3,2.4,0.2,6.8,8.6,0.8
1403,8,,IWG,95.3,15.8,32.2,55.2,10.2,3.4,3.5,27.6,70.8,36.8,81.6,0.4,0.3,3.1,0.2,5.7,8,-0.2
1404,24,,IWG,95.3,9.9,34.9,58.1,9.3,3.6,4.7,18.4,59.7,32.9,74.6,0.4,0.2,2,0.2,5.4,7.3,1.4
1405,9,,IWG,95.6,16.1,32.6,54.9,10.9,3.9,3.5,26.6,69.3,37.8,80.9,0.4,0.3,3.2,0.3,5.8,8.1,-0.6
1406,6,,IWG,95.1,17.9,29.8,51.9,11.1,3.7,3.4,26.2,73.4,36.1,83.2,0.4,0.3,3.3,0.3,6.7,8.7,-0.7
1407,,,,,,,,,,,,,,,,,,,,,
1408,,,,,,,,,,,,,,,,,,,,,
1409,21,,IWG,95.4,13.6,33,56.4,10.2,3.5,3.7,25.4,68.6,36.2,79.3,0.4,0.3,2.8,0.2,6.7,8.8,-0.1
1410,,,,,,,,,,,,,,,,,,,,,
1411,,,,,,,,,,,,,,,,,,,,,
1412,17,,IWG,95.4,15.5,33.6,55.9,11.5,3.5,3.8,27.1,69.1,36.6,80.3,0.4,0.3,3.1,0.3,5.3,7.7,-0.7
1413,3,,IWG,95.6,11.4,32.5,56.8,8.7,3.9,3.8,21.9,66.2,34.9,78.7,0.4,0.2,2.2,0.2,7.5,9.2,0.8
1414,7,,IWG,95.5,13.6,31.7,54.3,10.4,3.8,3.1,26.6,71.2,37.7,82.2,0.4,0.3,2.9,0.2,6.5,8.6,0.3
1415,20,,IWG,94.5,15.3,30.1,46.4,10.3,3.1,4.7,20.2,73.5,29.5,84.4,0.6,0.3,2.8,0.3,7,9,1.9
1416,10,,IWG,95.3,14.2,31.7,54.4,10.3,3.7,3.6,24.4,69.4,36,81.2,0.4,0.3,2.9,0.2,6.8,8.8,-0.1
1417,,,,,,,,,,,,,,,,,,,,,
1418,,,,,,,,,,,,,,,,,,,,,
1419,2,,IWG,95,12.6,32.2,55.4,9.8,3.5,3.8,23.4,67.8,35.5,80.3,0.4,0.3,2.7,0.2,5.5,7.5,0.7
1420,,,,,,,,,,,,,,,,,,,,,
1421,1,,IWG,95.2,13.5,31.2,52.4,10.6,3.6,4,23.4,70.8,33.9,81.8,0.5,0.3,2.6,0.2,5.9,8.1,1.2
1422,,,,,,,,,,,,,,,,,,,,,
1423,5,,IWG,95.5,11.3,32.4,55,10.9,4.2,2.9,25.4,69.2,38.5,81.6,0.4,0.3,2.6,0.2,6.7,8.8,0.3
1424,,,,,,,,,,,,,,,,,,,,,